Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
74.0,15.0,15.0,0.23043545768520157
75.0,12.0,12.0,0.22806756438191733
76.0,12.0,12.0,0.2257251067265756
77.0,9.0,9.0,0.22398479115531889
78.0,11.0,11.0,0.2218767935281781
79.0,13.0,13.0,0.2194122805586378
80.0,12.0,12.0,0.2171627970047332
81.0,10.0,10.0,0.21530669681122083
82.0,9.0,9.0,0.21365042950527063
83.0,9.0,9.0,0.21200752377705445
84.0,9.0,9.0,0.21037787183493814
85.0,10.0,10.0,0.20858256200100142
86.0,11.0,11.0,0.2066262941408907
87.0,18.0,18.0,0.20346661071354408
88.0,38.0,38.0,0.19696191689164308
89.0,12.0,12.0,0.19495359266093276
90.0,11.0,11.0,0.19313158590823123
91.0,29.0,29.0,0.1884136879052002
92.0,10.0,10.0,0.18681516883983665
93.0,15.0,15.0,0.18444420408153525
94.0,10.0,10.0,0.18288125008769895
95.0,10.0,10.0,0.18133229956964278
96.0,15.0,15.0,0.17903485616077822
97.0,13.0,13.0,0.1770686729446951
98.0,11.0,11.0,0.17542285333183597
99.0,26.0,26.0,0.17159689683172424
100.0,12.0,12.0,0.16986104084078013
101.0,18.0,18.0,0.16729215612660728
102.0,10.0,10.0,0.1658828779857164
103.0,10.0,10.0,0.16448622644317162
104.0,9.0,9.0,0.16323994227391866
105.0,12.0,12.0,0.16159385576444124
106.0,11.0,11.0,0.1601004809946025
107.0,9.0,9.0,0.158889577876779
108.0,10.0,10.0,0.15755558365433778
109.0,11.0,11.0,0.1561019905343064
110.0,14.0,14.0,0.1542726544728136
111.0,9.0,9.0,0.15310876608311494
112.0,10.0,10.0,0.1518265657447302
113.0,11.0,11.0,0.1504294100756695
114.0,9.0,9.0,0.14929652622767664
115.0,9.0,9.0,0.1481727816747385
116.0,10.0,10.0,0.14693480588703578
117.0,12.0,12.0,0.1454638673490557
118.0,11.0,11.0,0.144129391616489
119.0,10.0,10.0,0.1429276430721817
