episode,reward,epsilon,loss
179,47.0,0.05,92291125256.17021
180,17.0,0.05,147112960918.58823
181,21.0,0.05,292247011352.381
182,18.0,0.05,114738066830.22223
183,15.0,0.05,148251433898.66666
184,15.0,0.05,148648164966.4
185,18.0,0.05,82169387569.77777
186,11.0,0.05,236884402059.63635
187,11.0,0.05,470885620596.36365
188,10.0,0.05,68686425676.8
189,13.0,0.05,101338957390.76923
190,13.0,0.05,176661784221.53845
191,12.0,0.05,527115538560.0
192,17.0,0.05,279369995444.7059
193,15.0,0.05,110642475980.8
194,14.0,0.05,131521515565.71428
195,33.0,0.05,198647732061.0909
196,127.0,0.05,156073157990.80316
197,150.0,0.05,186144791616.85333
198,79.0,0.05,150388536358.88608
199,113.0,0.05,305224175534.4425
200,45.0,0.05,195896876196.97778
201,62.0,0.05,154999595594.32257
202,144.0,0.05,190615778928.0
203,500.0,0.05,321605762486.272
204,500.0,0.05,873972277262.336
205,500.0,0.05,2652221173940.224
206,10.0,0.05,1850941382656.0
207,10.0,0.05,1964391658291.2
208,10.0,0.05,2894288512614.4
209,10.0,0.05,11740094785126.4
210,10.0,0.05,4500570596966.4
211,10.0,0.05,1608598722969.6
212,10.0,0.05,4050365313843.2
213,10.0,0.05,1097631501516.8
214,10.0,0.05,3463885579878.4
215,10.0,0.05,6702309035212.8
216,10.0,0.05,4812495624601.6
217,10.0,0.05,2020002830745.6
218,10.0,0.05,6846826574643.2
219,10.0,0.05,3730800102604.8
220,10.0,0.05,5277635025305.6
221,10.0,0.05,1670986563584.0
222,10.0,0.05,4004113704550.4
223,10.0,0.05,1978913911603.2
224,12.0,0.05,16321395048448.0
225,10.0,0.05,10095877147852.8
226,10.0,0.05,11559974122291.2
227,10.0,0.05,5125653141913.6
228,10.0,0.05,9184747041587.2
229,10.0,0.05,3109610808934.4
230,10.0,0.05,11257266798592.0
231,10.0,0.05,13229168207462.4
232,10.0,0.05,6489390720614.4
233,10.0,0.05,18103551184076.8
234,10.0,0.05,12514808705843.2
235,13.0,0.05,8512900656206.77
236,10.0,0.05,17337192506982.4
237,10.0,0.05,12493670757171.2
238,10.0,0.05,15404959678464.0
239,10.0,0.05,28618080603340.8
240,10.0,0.05,12098687552716.8
241,10.0,0.05,3771620779622.4
242,10.0,0.05,6798428425420.8
243,10.0,0.05,23743325175808.0
244,10.0,0.05,6708704300236.8
245,10.0,0.05,6761783099392.0
246,10.0,0.05,12467094192128.0
