episode,reward,epsilon,loss
183,8.0,0.05,259983293284352.0
184,8.0,0.05,271383523098624.0
185,10.0,0.05,115317228122931.2
186,8.0,0.05,127346845220864.0
187,10.0,0.05,166705721927270.4
188,8.0,0.05,429918716428288.0
189,8.0,0.05,180169461989376.0
190,8.0,0.05,272153680936960.0
191,8.0,0.05,313969523032064.0
192,9.0,0.05,263193155279985.78
193,8.0,0.05,239390180900864.0
194,8.0,0.05,223333006704640.0
195,8.0,0.05,506804797702144.0
196,12.0,0.05,126671412024661.33
197,8.0,0.05,124640513622016.0
198,8.0,0.05,170280221835264.0
199,9.0,0.05,147900225261112.88
200,8.0,0.05,90688363044864.0
201,28.0,0.05,48861457954523.43
202,34.0,0.05,55431683533161.414
203,77.0,0.05,32726606834275.742
204,89.0,0.05,35578045117750.65
205,210.0,0.05,24551995630582.246
206,81.0,0.05,33366360466925.035
207,86.0,0.05,26579478670121.676
208,98.0,0.05,19024871353114.12
209,166.0,0.05,29663537122982.555
210,272.0,0.05,25473568183476.707
211,13.0,0.05,100340616356470.16
212,77.0,0.05,41970377739809.25
213,14.0,0.05,30003701888731.43
214,18.0,0.05,61790449958912.0
215,12.0,0.05,57318756286464.0
216,18.0,0.05,110243036149987.56
217,11.0,0.05,123368212374248.73
218,9.0,0.05,59996686399715.555
219,11.0,0.05,83613780303127.27
220,13.0,0.05,86973955118001.23
221,14.0,0.05,68784705081929.14
222,8.0,0.05,199524512825344.0
223,15.0,0.05,100512066341000.53
224,8.0,0.05,67771084275712.0
225,15.0,0.05,111616518083925.33
226,17.0,0.05,30780029241223.53
227,11.0,0.05,40758913222097.45
228,16.0,0.05,37088207138816.0
229,11.0,0.05,9926926389620.363
230,15.0,0.05,25424822202094.934
231,261.0,0.05,31303996042777.5
232,213.0,0.05,23372648648454.008
233,22.0,0.05,14477007269515.637
234,40.0,0.05,10222788013260.8
235,66.0,0.05,11832737176358.787
236,15.0,0.05,23690511633612.8
237,11.0,0.05,21898321580404.363
238,10.0,0.05,32894610335334.4
239,105.0,0.05,28153647147378.59
240,168.0,0.05,16075432365884.953
241,9.0,0.05,37633295617592.89
242,20.0,0.05,26824430865612.8
243,72.0,0.05,17959338861454.223
244,122.0,0.05,26782205980739.15
245,19.0,0.05,50856952242607.16
246,82.0,0.05,32382227286365.66
247,31.0,0.05,28730823346242.066
248,12.0,0.05,59215589190314.664
249,14.0,0.05,46045312843776.0
250,10.0,0.05,51945933792870.4
251,9.0,0.05,69315697821468.445
252,11.0,0.05,135718356707514.19
253,8.0,0.05,86137402916864.0
254,14.0,0.05,55729908791003.43
255,47.0,0.05,40988725107864.51
256,56.0,0.05,46511827059858.29
257,123.0,0.05,68025258301290.15
258,158.0,0.05,27836610190634.125
259,49.0,0.05,50295555701112.164
260,156.0,0.05,33470658843149.13
261,122.0,0.05,26451402336222.426
262,34.0,0.05,20179325785750.59
263,92.0,0.05,22460706604432.695
264,166.0,0.05,25299460679112.48
265,24.0,0.05,58034412841642.664
266,54.0,0.05,38832393952369.78
267,104.0,0.05,32544195391803.08
268,38.0,0.05,45482145430689.69
269,110.0,0.05,24677546419814.4
270,82.0,0.05,42219728807286.63
271,137.0,0.05,28536539762060.145
272,97.0,0.05,29143467383227.383
273,63.0,0.05,16953717579125.842
274,58.0,0.05,14903717651844.414
275,194.0,0.05,15010054455127.094
276,107.0,0.05,35975613801596.414
277,95.0,0.05,41828403392641.34
278,139.0,0.05,38802855235731.336
279,224.0,0.05,42426152162450.29
280,10.0,0.05,74528793952256.0
281,61.0,0.05,34259418573035.016
282,12.0,0.05,81960749389141.33
283,16.0,0.05,59074468954112.0
284,32.0,0.05,40712775362560.0
285,12.0,0.05,85688646036138.67
286,110.0,0.05,49702348610839.27
287,14.0,0.05,62749194097225.14
288,124.0,0.05,29349537478061.418
289,24.0,0.05,32148006360405.332
290,16.0,0.05,33405256232960.0
291,10.0,0.05,73873985791590.4
292,118.0,0.05,25803366476643.797
293,20.0,0.05,49089143570432.0
294,34.0,0.05,61494482946891.3
295,199.0,0.05,57539965892597.71
296,11.0,0.05,184194616000512.0
297,8.0,0.05,122164801830912.0
298,8.0,0.05,35407924953088.0
299,8.0,0.05,168720470114304.0
300,8.0,0.05,78107852144640.0
301,8.0,0.05,217586263916544.0
302,8.0,0.05,178160370778112.0
303,8.0,0.05,381003963236352.0
304,14.0,0.05,139993930591670.86
305,8.0,0.05,84689427677184.0
306,10.0,0.05,102802554250854.4
307,9.0,0.05,230460968169927.12
308,9.0,0.05,167414142060316.44
309,14.0,0.05,135981811686253.72
310,8.0,0.05,91769062883328.0
311,12.0,0.05,164572797998421.34
312,8.0,0.05,72803051454464.0
313,11.0,0.05,143369227373474.9
314,22.0,0.05,70839502447336.73
315,10.0,0.05,102382448515481.6
316,15.0,0.05,64766646253431.47
317,9.0,0.05,106237315339605.33
318,11.0,0.05,73642944424122.19
319,8.0,0.05,104231572406272.0
320,9.0,0.05,360698314664618.7
321,17.0,0.05,114632361142633.4
322,13.0,0.05,97381951431286.16
323,14.0,0.05,123294222553673.14
324,9.0,0.05,71999597896590.22
325,8.0,0.05,132865057423360.0
326,8.0,0.05,100865952055296.0
327,8.0,0.05,166602644570112.0
328,8.0,0.05,441356324765696.0
329,8.0,0.05,117148718071808.0
330,10.0,0.05,234549469406822.4
331,9.0,0.05,263664582757944.88
332,8.0,0.05,228132808949760.0
333,9.0,0.05,189410596705621.34
334,11.0,0.05,165253363460282.2
335,15.0,0.05,111435969584605.86
336,8.0,0.05,85104068329472.0
337,8.0,0.05,102881307459584.0
338,10.0,0.05,233791856600678.4
339,8.0,0.05,151519483133952.0
340,8.0,0.05,167555183804416.0
341,10.0,0.05,166874982953779.2
342,32.0,0.05,37580268893696.0
343,9.0,0.05,21473175375416.89
344,15.0,0.05,37727080301636.266
345,8.0,0.05,25381161074688.0
346,12.0,0.05,75297531024725.33
347,20.0,0.05,34576070712524.8
348,22.0,0.05,33578360242176.0
349,8.0,0.05,53325160267776.0
350,9.0,0.05,63340723830784.0
351,8.0,0.05,132371865042944.0
352,8.0,0.05,134797804208128.0
353,8.0,0.05,37509242650624.0
354,8.0,0.05,362242994339840.0
355,8.0,0.05,345134478655488.0
356,8.0,0.05,119487413813248.0
357,8.0,0.05,51102489346048.0
358,8.0,0.05,247502353596416.0
359,8.0,0.05,223878080757760.0
360,8.0,0.05,353326892580864.0
361,8.0,0.05,142140092317696.0
362,8.0,0.05,356319599788032.0
363,8.0,0.05,264081658347520.0
364,8.0,0.05,608709649629184.0
365,12.0,0.05,112693871744341.33
366,8.0,0.05,60312272617472.0
367,15.0,0.05,41910167487556.266
368,10.0,0.05,94749276241920.0
369,12.0,0.05,102116614458026.67
370,15.0,0.05,129078639189469.86
371,8.0,0.05,177693580066816.0
372,11.0,0.05,70242795073163.63
373,22.0,0.05,101748697852090.19
374,10.0,0.05,175551262267801.6
375,8.0,0.05,257500547645440.0
376,13.0,0.05,81517424055217.23
377,10.0,0.05,357683046226329.6
378,9.0,0.05,181189601292743.12
379,8.0,0.05,185095631929344.0
380,9.0,0.05,367897632658773.3
381,8.0,0.05,202788857905152.0
382,8.0,0.05,333717693792256.0
383,11.0,0.05,81820105798749.1
384,8.0,0.05,231477146812416.0
385,8.0,0.05,375501795295232.0
386,11.0,0.05,130746018931432.73
387,11.0,0.05,71869881265803.64
388,8.0,0.05,152988598566912.0
389,8.0,0.05,353319194853376.0
390,9.0,0.05,199157331875157.34
391,11.0,0.05,48801944353326.55
392,8.0,0.05,79066742505472.0
393,8.0,0.05,81119271714816.0
394,8.0,0.05,191728818520064.0
395,8.0,0.05,266173530243072.0
396,8.0,0.05,166871071621120.0
397,8.0,0.05,166006185263104.0
398,8.0,0.05,379950399488000.0
399,9.0,0.05,161522170520462.22
400,8.0,0.05,213614841987072.0
401,10.0,0.05,81813811088588.8
402,8.0,0.05,66546966052864.0
403,8.0,0.05,672462424506368.0
404,10.0,0.05,267960447506841.6
405,8.0,0.05,144257706360832.0
406,8.0,0.05,475529994305536.0
407,11.0,0.05,121453868554053.81
408,8.0,0.05,78668364742656.0
409,8.0,0.05,155960358666240.0
410,8.0,0.05,82504458010624.0
411,8.0,0.05,219529814081536.0
412,8.0,0.05,560657928159232.0
413,8.0,0.05,369335528325120.0
414,8.0,0.05,297383427178496.0
415,23.0,0.05,269216566454004.88
416,20.0,0.05,38989356187648.0
417,25.0,0.05,15034809558630.4
418,10.0,0.05,40840590262272.0
419,10.0,0.05,30972845621248.0
420,12.0,0.05,21071099636394.668
421,12.0,0.05,106322137710592.0
