Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
101.0,27.0,27.0,0.8191666922616326
102.0,39.0,39.0,0.8160170878824742
103.0,24.0,24.0,0.8140849663448195
104.0,12.0,12.0,0.8131206430948746
105.0,17.0,17.0,0.8117564978536
106.0,15.0,15.0,0.8105547646320608
107.0,24.0,24.0,0.8086357369512939
108.0,36.0,36.0,0.8057658172532383
109.0,57.0,57.0,0.8012428547838469
110.0,11.0,11.0,0.8003729661700361
111.0,19.0,19.0,0.7988726832544178
112.0,19.0,19.0,0.797375248170043
113.0,24.0,24.0,0.795487813402125
114.0,25.0,25.0,0.7935265464737732
115.0,41.0,41.0,0.7903206641828326
116.0,27.0,27.0,0.7882166401002451
117.0,15.0,15.0,0.787050190196232
118.0,11.0,11.0,0.786195904930053
119.0,13.0,13.0,0.7851875058550589
120.0,24.0,24.0,0.7833292865960626
121.0,15.0,15.0,0.7821701622267814
122.0,30.0,30.0,0.7798571230336698
123.0,24.0,24.0,0.7780116813542163
124.0,32.0,32.0,0.775557972002677
125.0,21.0,21.0,0.773951987135781
126.0,17.0,17.0,0.7726543720429878
127.0,13.0,13.0,0.7716635655231084
128.0,20.0,20.0,0.7701417607041495
129.0,13.0,13.0,0.7691542184567738
130.0,15.0,15.0,0.7680163407507201
131.0,20.0,20.0,0.766501823091717
132.0,10.0,10.0,0.7657456993934846
133.0,19.0,19.0,0.7643111458220914
134.0,14.0,14.0,0.7632558490980125
135.0,20.0,20.0,0.7617508429076755
136.0,14.0,14.0,0.7606991280997504
137.0,49.0,49.0,0.7570296998132748
138.0,45.0,45.0,0.7536756185070643
139.0,13.0,13.0,0.7527094683366821
140.0,20.0,20.0,0.7512255338291611
141.0,29.0,29.0,0.7490790936236511
142.0,22.0,22.0,0.7474549068781877
143.0,28.0,28.0,0.7453929212659497
144.0,53.0,53.0,0.7415056491537892
145.0,13.0,13.0,0.7405553096643969
146.0,11.0,11.0,0.7397521406477116
147.0,15.0,15.0,0.7386583329975664
148.0,21.0,21.0,0.7371297560658019
149.0,28.0,28.0,0.7350966404389971
150.0,24.0,24.0,0.7333584951106472
151.0,37.0,37.0,0.7306870139665684
152.0,20.0,20.0,0.7292470803522275
153.0,10.0,10.0,0.7285281927755709
154.0,23.0,23.0,0.726877476983039
155.0,41.0,41.0,0.723944296456384
156.0,32.0,32.0,0.721663326206551
157.0,32.0,32.0,0.7193896433953968
158.0,14.0,14.0,0.7183971927721798
159.0,11.0,11.0,0.7176183842833291
160.0,22.0,22.0,0.7160633350192994
161.0,20.0,20.0,0.7146526195349836
162.0,21.0,21.0,0.7131744017059256
163.0,29.0,29.0,0.711138149933122
164.0,18.0,18.0,0.7098772364258455
165.0,17.0,17.0,0.7086884558736889
166.0,20.0,20.0,0.7072924754077342
167.0,13.0,13.0,0.7063865841466036
168.0,45.0,45.0,0.7032598848676249
169.0,50.0,50.0,0.699802236766969
170.0,17.0,17.0,0.698630569164104
171.0,43.0,43.0,0.6956758149909531
172.0,43.0,43.0,0.6927337389831562
173.0,16.0,16.0,0.6916422384340758
174.0,39.0,39.0,0.6889890108609157
175.0,52.0,52.0,0.6854674320446484
176.0,16.0,16.0,0.6843875482907553
177.0,16.0,16.0,0.6833093909693542
178.0,17.0,17.0,0.6821657373856823
179.0,25.0,25.0,0.6804874218108092
180.0,17.0,17.0,0.6793485614992713
181.0,25.0,25.0,0.6776772800677714
182.0,43.0,43.0,0.6748124316019342
183.0,14.0,14.0,0.67388234540994
184.0,39.0,39.0,0.6712982465309997
185.0,29.0,29.0,0.6693832596890669
186.0,47.0,47.0,0.6662914298601675
187.0,25.0,25.0,0.6646527504882108
188.0,46.0,46.0,0.6616482634540538
189.0,23.0,23.0,0.6601511947370918
190.0,33.0,33.0,0.6580092319768446
191.0,30.0,30.0,0.6560681174086022
192.0,47.0,47.0,0.653038721912807
193.0,24.0,24.0,0.6514972794510627
194.0,29.0,29.0,0.6496396322310246
195.0,23.0,23.0,0.6481701516273833
196.0,28.0,28.0,0.6463857744966027
197.0,15.0,15.0,0.6454319114110213
198.0,29.0,29.0,0.6435918282780636
199.0,33.0,33.0,0.6415044213604815
200.0,39.0,39.0,0.639046350471014
201.0,19.0,19.0,0.6378522971150183
202.0,31.0,31.0,0.6359089687092726
203.0,32.0,32.0,0.6339092612477581
204.0,29.0,29.0,0.6321025453943336
205.0,39.0,39.0,0.6296810704127286
206.0,58.0,58.0,0.6260973231179223
207.0,12.0,12.0,0.6253584497428706
208.0,18.0,18.0,0.6242518008161627
209.0,33.0,33.0,0.6222281107984968
210.0,13.0,13.0,0.6214327313631078
211.0,37.0,37.0,0.6191746103570646
212.0,19.0,19.0,0.6180182774615004
213.0,14.0,14.0,0.6171676474529966
214.0,20.0,20.0,0.6159545256842331
215.0,52.0,52.0,0.6128117404739613
216.0,21.0,21.0,0.6115471640889021
217.0,36.0,36.0,0.6093854876503815
218.0,14.0,14.0,0.6085469350914258
219.0,19.0,19.0,0.6074107756080559
220.0,27.0,27.0,0.6057999421177074
221.0,64.0,64.0,0.601998998481668
222.0,15.0,15.0,0.6011116656499442
223.0,80.0,80.0,0.5964016375572385
224.0,10.0,10.0,0.5958155290227909
225.0,74.0,74.0,0.5914964942458742
226.0,27.0,27.0,0.5899285713598196
227.0,16.0,16.0,0.5890014275584756
228.0,27.0,27.0,0.5874402322661385
229.0,11.0,11.0,0.586805397233926
230.0,23.0,23.0,0.5854802693015707
231.0,13.0,13.0,0.584732631021653
232.0,14.0,14.0,0.5839285683134486
233.0,85.0,85.0,0.5790708500329533
234.0,51.0,51.0,0.5761759768989118
235.0,33.0,33.0,0.5743106756150245
236.0,52.0,52.0,0.5713838763749018
237.0,22.0,22.0,0.5701501894001365
238.0,32.0,32.0,0.5683605737063046
239.0,20.0,20.0,0.5672449685359308
240.0,50.0,50.0,0.5644656976605847
241.0,54.0,54.0,0.5614796524713148
242.0,28.0,28.0,0.5599376692283643
243.0,92.0,92.0,0.5549014448258341
244.0,18.0,18.0,0.5539215044360825
245.0,46.0,46.0,0.5514252113914742
246.0,100.0,100.0,0.5460379405257372
247.0,32.0,32.0,0.5443253607051689
248.0,37.0,37.0,0.5423520098209595
249.0,25.0,25.0,0.5410227920109705
250.0,13.0,13.0,0.5403329109012359
251.0,100.0,100.0,0.5350560102694809
252.0,16.0,16.0,0.5342165923664479
253.0,57.0,57.0,0.5312370575313254
254.0,35.0,35.0,0.529415916685527
255.0,61.0,61.0,0.5262571237072136
256.0,36.0,36.0,0.5244019393972241
257.0,100.0,100.0,0.5192835545804714
258.0,60.0,60.0,0.5162370020502315
259.0,100.0,100.0,0.5111998597175089
260.0,100.0,100.0,0.506212837788426
261.0,17.0,17.0,0.5053699925855933
262.0,25.0,25.0,0.504133114346136
263.0,61.0,61.0,0.5011280770305512
264.0,68.0,68.0,0.4977997352938485
265.0,53.0,53.0,0.4952212357564002
266.0,100.0,100.0,0.49039320379218987
267.0,71.0,71.0,0.4869944917504244
268.0,15.0,15.0,0.4862795363633932
269.0,100.0,100.0,0.48154047579470827
270.0,49.0,49.0,0.4792355790719972
271.0,73.0,73.0,0.4758226317587816
272.0,41.0,41.0,0.4739166688624437
273.0,91.0,91.0,0.46971417751209193
274.0,45.0,45.0,0.46765011134527334
275.0,74.0,74.0,0.464276000129995
276.0,92.0,92.0,0.4601158270679304
277.0,100.0,100.0,0.4556370997564739
278.0,54.0,54.0,0.45323714512717483
279.0,44.0,44.0,0.45129118593831063
280.0,100.0,100.0,0.4469002652731976
281.0,17.0,17.0,0.44615816578552003
282.0,35.0,35.0,0.4446342805600478
283.0,78.0,78.0,0.44125732043732846
284.0,34.0,34.0,0.4397935353925304
285.0,39.0,39.0,0.4381206049393221
286.0,82.0,82.0,0.43462437013207644
287.0,80.0,80.0,0.43124092698860456
288.0,65.0,65.0,0.4285117404285032
289.0,100.0,100.0,0.42434747903331455
290.0,100.0,100.0,0.42022465273132004
291.0,20.0,20.0,0.41940502332847
292.0,59.0,59.0,0.4169966453920434
293.0,100.0,100.0,0.4129469611068617
294.0,74.0,74.0,0.40997615911877416
295.0,92.0,92.0,0.4063132536556685
296.0,95.0,95.0,0.40256610488424294
297.0,100.0,100.0,0.3986600068762032
298.0,22.0,22.0,0.3978058947289294
299.0,39.0,39.0,0.3962963971730083
300.0,29.0,29.0,0.3951777604284639
